候选编号,CAS号,论文化学名称,结构来源,查询时间,PubChem CID,PubChem返回名称,SMILES,名称核对状态,结构查询失败原因
#0018,25444-82-0,1-Adamantylthiourea,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:16.412056+00:00,796429,1-adamantylthiourea,C1C2CC3CC1CC(C2)(C3)NC(=S)N,名称近似一致,
#0052,66376-36-1,Alendronic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:17.508972+00:00,2088,(4-amino-1-hydroxy-1-phosphonobutyl)phosphonic acid,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,CAS查询成功；名称可能为同义名，需人工复核,
#0093,1072-97-5,2-Amino-5-bromopyridine,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:18.491903+00:00,70622,5-bromopyridin-2-amine,C1=CC(=NC=C1Br)N,CAS查询成功；名称可能为同义名，需人工复核,
#0134,10517-21-2,5-Chloroindole-2-carboxylic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:19.490074+00:00,82693,5-chloro-1H-indole-2-carboxylic acid,C1=CC2=C(C=C1Cl)C=C(N2)C(=O)O,CAS查询成功；名称可能为同义名，需人工复核,
#0147,1429-50-1,"N,N,N',N'-Ethylenediaminetetrakis(methylenephosphonic Acid)",PubChem PUG REST（CAS 查询）,2026-08-03T12:18:20.157453+00:00,15025,[2-[bis(phosphonomethyl)amino]ethyl-(phosphonomethyl)amino]methylphosphonic acid,C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CP(=O)(O)O)CP(=O)(O)O,CAS查询成功；名称可能为同义名，需人工复核,
#0202,21080-92-2,3-Thiophenemalonic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:20.866093+00:00,88782,2-thiophen-3-ylpropanedioic acid,C1=CSC=C1C(C(=O)O)C(=O)O,CAS查询成功；名称可能为同义名，需人工复核,
#0251,86-58-8,Quinoline-8-boronic Acid (contains varying amounts of Anhydride),PubChem PUG REST（CAS 查询）,2026-08-03T12:18:22.032767+00:00,2734380,quinolin-8-ylboronic acid,B(C1=C2C(=CC=C1)C=CC=N2)(O)O,CAS查询成功；名称可能为同义名，需人工复核,
#0333,69-81-8,Carbazochrome,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:22.794110+00:00,2557,"(3,6-dihydroxy-1-methyl-2,3-dihydroindol-5-yl)iminourea",CN1CC(C2=CC(=C(C=C21)O)N=NC(=O)N)O,CAS查询成功；名称可能为同义名，需人工复核,
#0372,6018-19-5,Sodium 4-Aminosalicylate Dihydrate,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:23.580952+00:00,16211148,sodium;4-amino-2-hydroxybenzoate;dihydrate,C1=CC(=C(C=C1N)O)C(=O)[O-].O.O.[Na+],CAS查询成功；名称可能为同义名，需人工复核,
#0496,329-63-5,DL-Adrenaline Hydrochloride,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:24.865016+00:00,5924,"4-[1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol;hydrochloride",CNCC(C1=CC(=C(C=C1)O)O)O.Cl,CAS查询成功；名称可能为同义名，需人工复核,
#0498,5049-61-6,2-Aminopyrazine,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:25.983222+00:00,78747,pyrazin-2-amine,C1=CN=C(C=N1)N,CAS查询成功；名称可能为同义名，需人工复核,
#0511,203515-86-0,"5-Amino-N,N'-bis(2,3-dihydroxypropyl)isophthalamide Hydrochloride",PubChem PUG REST（CAS 查询）,2026-08-03T12:18:26.990159+00:00,44629992,"5-amino-1-N,3-N-bis(2,3-dihydroxypropyl)benzene-1,3-dicarboxamide;hydrochloride",C1=C(C=C(C=C1C(=O)NCC(CO)O)N)C(=O)NCC(CO)O.Cl,CAS查询成功；名称可能为同义名，需人工复核,
#0523,52671-64-4,4-Amino-3-chlorophenol Hydrochloride,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:27.748101+00:00,12598190,4-amino-3-chlorophenol;hydrochloride,C1=CC(=C(C=C1O)Cl)N.Cl,名称近似一致,
#0534,7138-34-3,4-Chloro-DL-mandelic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:28.437100+00:00,10299,2-(4-chlorophenyl)-2-hydroxyacetic acid,C1=CC(=CC=C1C(C(=O)O)O)Cl,CAS查询成功；名称可能为同义名，需人工复核,
#0538,497-18-7,Carbohydrazide,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:29.423011+00:00,73948,"1,3-diaminourea",C(=O)(NN)NN,CAS查询成功；名称可能为同义名，需人工复核,
#0600,451-13-8,Homogentisic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:30.267346+00:00,780,"2-(2,5-dihydroxyphenyl)acetic acid",C1=CC(=C(C=C1O)CC(=O)O)O,CAS查询成功；名称可能为同义名，需人工复核,
#0636,505-73-7,Dithiodiglycolic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:31.248169+00:00,68164,2-(carboxymethyldisulfanyl)acetic acid,C(C(=O)O)SSCC(=O)O,CAS查询成功；名称可能为同义名，需人工复核,
#0640,60-80-0,"2,3-Dimethyl-1-phenyl-5-pyrazolone",PubChem PUG REST（CAS 查询）,2026-08-03T12:18:32.504663+00:00,2206,"1,5-dimethyl-2-phenylpyrazol-3-one",CC1=CC(=O)N(N1C)C2=CC=CC=C2,CAS查询成功；名称可能为同义名，需人工复核,
#0679,156-81-0,"2,4-Diaminopyrimidine",PubChem PUG REST（CAS 查询）,2026-08-03T12:18:33.566203+00:00,67431,"pyrimidine-2,4-diamine",C1=CN=C(N=C1N)N,CAS查询成功；名称可能为同义名，需人工复核,
#0712,83881-52-1,Cetirizine Dihydrochloride,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:34.234620+00:00,55182,2-[2-[4-[(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]acetic acid;dihydrochloride,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl,CAS查询成功；名称可能为同义名，需人工复核,
#0716,147-94-4,Cytarabine,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:34.930139+00:00,6253,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,CAS查询成功；名称可能为同义名，需人工复核,
#0777,524-95-8,2-Aminoethyl Diphenylborinate,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:36.071902+00:00,1598,2-diphenylboranyloxyethanamine,B(C1=CC=CC=C1)(C2=CC=CC=C2)OCCN,CAS查询成功；名称可能为同义名，需人工复核,
#0827,2073-31-6,"2,4-Diamino-6-diethylamino-1,3,5-triazine",PubChem PUG REST（CAS 查询）,2026-08-03T12:18:36.803947+00:00,326489,"2-N,2-N-diethyl-1,3,5-triazine-2,4,6-triamine",CCN(CC)C1=NC(=NC(=N1)N)N,CAS查询成功；名称可能为同义名，需人工复核,
#0847,135-51-3,"Disodium 3-Hydroxy-2,7-naphthalenedisulfonate",PubChem PUG REST（CAS 查询）,2026-08-03T12:18:37.503806+00:00,8673,"disodium;3-hydroxynaphthalene-2,7-disulfonate",C1=CC(=CC2=CC(=C(C=C21)O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],CAS查询成功；名称可能为同义名，需人工复核,
#0958,91510-62-2,alpha-D-Galacturonic Acid Hydrate,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:38.638913+00:00,,,,未核对,"PubChem 查询失败：404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/91510-62-2/property/CanonicalSMILES,IUPACName/JSON"
#1007,54-85-3,Isonicotinic Acid Hydrazide,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:39.579623+00:00,3767,pyridine-4-carbohydrazide,C1=CN=CC=C1C(=O)NN,CAS查询成功；名称可能为同义名，需人工复核,
#1050,4930-98-7,2-Hydrazinopyridine,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:40.277241+00:00,78645,pyridin-2-ylhydrazine,C1=CC=NC(=C1)NN,CAS查询成功；名称可能为同义名，需人工复核,
#1101,6358-69-6,Pyranine,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:41.270108+00:00,61388,"trisodium;8-hydroxypyrene-1,3,6-trisulfonate",C1=CC2=C3C(=C(C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])C=CC4=C(C=C(C1=C43)O)S(=O)(=O)[O-].[Na+].[Na+].[Na+],CAS查询成功；名称可能为同义名，需人工复核,
#1118,120-07-0,N-Phenyldiethanolamine,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:42.470209+00:00,8416,2-[N-(2-hydroxyethyl)anilino]ethanol,C1=CC=C(C=C1)N(CCO)CCO,CAS查询成功；名称可能为同义名，需人工复核,
#1144,1452-63-7,2-Pyridinecarboxylic Acid Hydrazide,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:43.082787+00:00,255881,pyridine-2-carbohydrazide,C1=CC=NC(=C1)C(=O)NN,CAS查询成功；名称可能为同义名，需人工复核,
#1153,120-89-8,Parabanic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:43.749546+00:00,67126,"imidazolidine-2,4,5-trione",C1(=O)C(=O)NC(=O)N1,CAS查询成功；名称可能为同义名，需人工复核,
#1203,6556-12-3,D-Glucuronic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:44.415848+00:00,94715,"(2S,3S,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",C1(C(C(OC(C1O)O)C(=O)O)O)O,CAS查询成功；名称可能为同义名，需人工复核,
#1243,100-97-0,Hexamethylenetetramine,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:45.507787+00:00,4101,"1,3,5,7-tetrazatricyclo[3.3.1.13,7]decane",C1N2CN3CN1CN(C2)C3,CAS查询成功；名称可能为同义名，需人工复核,
#1245,2114-02-5,Guanylthiourea,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:46.565809+00:00,2724563,diaminomethylidenethiourea,C(=NC(=S)N)(N)N,CAS查询成功；名称可能为同义名，需人工复核,
#1318,1984-15-2,Methylenediphosphonic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:47.547042+00:00,16124,phosphonomethylphosphonic acid,C(P(=O)(O)O)P(=O)(O)O,CAS查询成功；名称可能为同义名，需人工复核,
#1415,58-96-8,Uridine,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:48.246915+00:00,6029,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione",C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,CAS查询成功；名称可能为同义名，需人工复核,
#1423,3232-84-6,Urazole,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:49.229307+00:00,72916,"1,2,4-triazolidine-3,5-dione",C1(=O)NC(=O)NN1,CAS查询成功；名称可能为同义名，需人工复核,
#1479,77-95-2,D-(-)-Quinic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:49.918111+00:00,6508,"trans-(3R,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid",C1C(C(C(CC1(C(=O)O)O)O)O)O,CAS查询成功；名称可能为同义名，需人工复核,
#1532,62-56-6,Thiourea,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:50.555356+00:00,2723790,thiourea,C(=S)(N)N,名称近似一致,
#1534,526-95-4,Gluconic Acid,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:51.603047+00:00,10690,"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid",C(C(C(C(C(C(=O)O)O)O)O)O)O,CAS查询成功；名称可能为同义名，需人工复核,
#1558,4651-82-5,2-Amino-3-cyanothiophene,PubChem PUG REST（CAS 查询）,2026-08-03T12:18:52.367385+00:00,736607,2-aminothiophene-3-carbonitrile,C1=CSC(=C1C#N)N,CAS查询成功；名称可能为同义名，需人工复核,
